scope,group,count,minimum,q05,q25,median,q75,q95,maximum
benign,BENIGN,314259,-4.0,5.0,203.0,38749.0,1084105.5,115261656.89999999,119999944.0
attack_family,Bot,284,2.0,18.0,49.0,71438.5,995148.25,1025041.2,1093860.0
attack_family,DDoS,19206,3.0,35994.75,617736.5,1875125.0,9220928.0,90928871.25,102676884.0
attack_family,DoS GoldenEye,1463,1025.0,5005774.0,10528229.5,11531520.0,18504033.0,100470993.89999998,119283792.0
attack_family,DoS Hulk,25959,1.0,3543.8,83689212.0,86632133.0,99101275.0,100862898.1,119425578.0
attack_family,DoS Slowhttptest,765,2.0,55972.80000000001,63082532.0,63120629.0,63159992.0,109889431.4,119799403.0
attack_family,DoS slowloris,849,2.0,514196.8,3003024.0,99999824.0,103609791.0,109009197.2,119016275.0
attack_family,FTP-Patator,835,1.0,215.0,258.0,8699907.0,9204806.5,9844893.9,10503314.0
attack_family,Heartbleed,2,24719667.0,29446739.55,48355029.75,71990392.5,95625755.25,114534045.44999999,119261118.0
attack_family,Infiltration,2,66695827.0,69360627.35,80019828.75,93343830.5,106667832.25,117327033.64999999,119991834.0
attack_family,PortScan,13675,1.0,11.0,33.0,50.0,68.0,97.0,112492824.0
attack_family,SSH-Patator,488,1.0,112.10000000000001,11464931.5,12037262.5,12702375.75,13685225.25,19524513.0
attack_family,Web Attack - Brute Force,232,31.0,96.85000000000001,5214931.75,5553177.0,5845875.5,9808000.15,35446860.0
attack_family,Web Attack - SQL Injection,4,5005388.0,5005935.95,5008127.75,5009102.0,5009992.0,5011981.6,5012479.0
attack_family,Web Attack - XSS,97,259.0,5027387.2,5180017.0,5381794.0,5575379.0,5980953.6,68150616.0
