label,records,requested_min_scale,requested_max_scale,sampled_scale_mean,applied_scale_mean,applied_scale_min,applied_scale_max,constrained_records
Bot,284,0.7,0.95,0.8206875857300432,0.8206875857300432,0.7018405674377514,0.9480938910139592,0
DDoS,19206,0.5,0.7,0.6000382238484226,0.6000382238484226,0.5000026337112415,0.6999954040835388,0
DoS GoldenEye,1463,0.5,0.6,0.551140645197632,0.551140645197632,0.5000703768317688,0.599993805386901,0
DoS Hulk,25959,0.5,0.55,0.5250717704758314,0.5250717704758314,0.500001373241683,0.5499996866647004,0
DoS Slowhttptest,765,0.5,0.6,0.5485899015090482,0.5485899015090482,0.500037296994221,0.5996746222451459,0
DoS slowloris,849,0.5,0.7,0.5991729070312045,0.5991729070312045,0.500046202048598,0.6999500079880434,0
FTP-Patator,835,0.5,0.8,0.6476350553509216,0.6476350553509216,0.5000535898399899,0.7998158902529311,0
Heartbleed,2,0.5,0.7,0.6303638622085497,0.6303638622085497,0.6276354585795221,0.6330922658375772,0
Infiltration,2,0.5,0.6,0.5389587178302564,0.5389587178302564,0.5103161252967997,0.5676013103637132,0
PortScan,13675,1.8,2.0,1.9002678614908892,1.8997626098118698,1.0667347101180424,1.9999782974739995,13
SSH-Patator,488,0.5,0.6,0.5504117835397959,0.5504117835397959,0.500188870056334,0.5998312944791606,0
Web Attack - Brute Force,232,0.5,0.7,0.5914924620113536,0.5914924620113536,0.5005835754113881,0.6989362642003927,0
Web Attack - SQL Injection,4,0.5,0.7,0.602500587740401,0.602500587740401,0.5110053013050966,0.6503052366894467,0
Web Attack - XSS,97,0.5,0.7,0.6083575292949236,0.6083575292949236,0.5038984887680948,0.6951103513808103,0
