attack,samples,detected,missed,recall
Bot,284,203,81,0.7147887323943662
DDoS,19206,19201,5,0.9997396646881183
DoS GoldenEye,1463,1420,43,0.9706083390293917
DoS Hulk,25959,25953,6,0.9997688662891483
DoS Slowhttptest,765,747,18,0.9764705882352941
DoS slowloris,849,601,248,0.7078916372202592
FTP-Patator,835,835,0,1.0
Heartbleed,2,1,1,0.5
Infiltration,2,1,1,0.5
PortScan,13675,13675,0,1.0
SSH-Patator,488,485,3,0.9938524590163934
Web Attack - Brute Force,232,213,19,0.9181034482758621
Web Attack - SQL Injection,4,1,3,0.25
Web Attack - XSS,97,94,3,0.9690721649484536
