attack,samples,detected,missed,recall
Bot,284,176,108,0.6197183098591549
DDoS,19206,3390,15816,0.17650734145579505
DoS GoldenEye,1463,720,743,0.49213943950786054
DoS Hulk,25959,21488,4471,0.8277668631303209
DoS Slowhttptest,765,176,589,0.23006535947712417
DoS slowloris,849,295,554,0.3474676089517079
FTP-Patator,835,561,274,0.6718562874251497
Heartbleed,2,0,2,0.0
Infiltration,2,0,2,0.0
PortScan,13675,13450,225,0.9835466179159049
SSH-Patator,488,476,12,0.9754098360655737
Web Attack - Brute Force,232,14,218,0.0603448275862069
Web Attack - SQL Injection,4,0,4,0.0
Web Attack - XSS,97,3,94,0.030927835051546393
