detector,metric,original_value,ai_assisted_value,change
random_forest,accuracy,0.9991272611869249,0.9981566698402623,-0.0009705913466625526
random_forest,precision,0.9958478372851725,0.9958239135895504,-2.392369562209673e-05
random_forest,recall,0.9989978233976918,0.9932509669438311,-0.005746856453860749
random_forest,f1,0.9974203433288517,0.9945357761628135,-0.0028845671660381322
random_forest,fpr,0.0008464355833882,0.0008464355833882243,2.42861286636753e-17
random_forest,fnr,0.0010021766023081,0.006749033056168867,0.005746856453860767
random_forest,tn,313993.0,313993.0,0.0
random_forest,fp,266.0,266.0,0.0
random_forest,fn,64.0,431.0,367.0
random_forest,tp,63797.0,63430.0,-367.0
traditional_rule_ids,accuracy,0.8713582989527134,0.8698852216227653,-0.0014730773299481692
traditional_rule_ids,precision,0.6129123202706512,0.609686396552756,-0.003225923717895207
traditional_rule_ids,recall,0.6468110427334367,0.6380889744914736,-0.008722068241963088
traditional_rule_ids,f1,0.6294055800204185,0.623564427645623,-0.005841152374795433
traditional_rule_ids,fpr,0.0830111468565737,0.08301114685657372,2.7755575615628914e-17
traditional_rule_ids,fnr,0.3531889572665633,0.36191102550852633,0.008722068241963032
traditional_rule_ids,tn,288172.0,288172.0,0.0
traditional_rule_ids,fp,26087.0,26087.0,0.0
traditional_rule_ids,fn,22555.0,23112.0,557.0
traditional_rule_ids,tp,41306.0,40749.0,-557.0
