feature,importance
Bwd Packet Length Std,0.20942261025251593
Average Packet Size,0.16160478125456204
Packet Length Variance,0.09858177537665201
Packet Length Std,0.06250477227115817
Destination Port,0.05844144768913671
Fwd Packet Length Max,0.053489556367183166
Bwd Header Length,0.03648659267385967
Max Packet Length,0.03561682260999722
Init_Win_bytes_backward,0.032444482319873465
Avg Bwd Segment Size,0.02122064141238801
Fwd Packet Length Mean,0.019631272003780783
Fwd Header Length,0.019360659175092134
Flow Bytes/s,0.015348098609038406
Subflow Bwd Bytes,0.013425553853256014
Init_Win_bytes_forward,0.012653308355987698
Packet Length Mean,0.012277073422257598
URG Flag Count,0.010710499896776693
Avg Fwd Segment Size,0.010170889095871051
Bwd Packet Length Mean,0.009581911480404942
Total Fwd Packets,0.008191191743435933
Total Length of Bwd Packets,0.0075913373591419905
Fwd IAT Min,0.007383352481585769
Subflow Fwd Packets,0.007257168475421868
Total Length of Fwd Packets,0.005910656842701462
Flow IAT Min,0.005744679707804918
Bwd IAT Std,0.004836452287220168
Fwd Packet Length Std,0.0039889685671766605
Bwd Packets/s,0.003442448713238551
Fwd IAT Total,0.0032223808152998146
PSH Flag Count,0.003217388438978312
min_seg_size_forward,0.0031204587545931796
Subflow Fwd Bytes,0.0030561745652875555
ACK Flag Count,0.003043906815533725
Fwd IAT Mean,0.0028431343050742924
Flow IAT Mean,0.0027696209759162133
Fwd IAT Max,0.002330545325735392
FIN Flag Count,0.0022838100022378022
Bwd IAT Mean,0.002131750273809542
Flow IAT Std,0.002108941809150414
Active Std,0.0020173375812093
Subflow Bwd Packets,0.0018230224259732054
Flow Packets/s,0.0017487991147695093
Total Backward Packets,0.0017463383027356582
Fwd IAT Std,0.0015042258051499305
Flow Duration,0.0014095456813520235
Bwd IAT Min,0.0012705168289590249
Idle Min,0.0011576360370682932
Flow IAT Max,0.0011511407938285096
Fwd Packets/s,0.001146372749212714
Bwd Packet Length Max,0.0010640331520221553
Min Packet Length,0.000981302181171695
Bwd IAT Max,0.0008394585972803069
Idle Max,0.000743801860631792
Idle Mean,0.0007203690997037406
Bwd IAT Total,0.0007020899246011542
Active Max,0.0005535815179235453
Fwd Packet Length Min,0.0004172960363669494
Down/Up Ratio,0.00033437242777925786
Active Min,0.00030294845765226107
Fwd PSH Flags,0.00021899273663283364
Bwd Packet Length Min,0.00019399751222031736
Active Mean,0.0001886306406007493
SYN Flag Count,0.00016349766633893474
act_data_pkt_fwd,0.00013716821617391407
Idle Std,1.6259771468434143e-05
Fwd URG Flags,8.05697981519128e-08
RST Flag Count,4.0944382847963316e-08
CWE Flag Count,2.698785752281259e-08
ECE Flag Count,2.142912603701317e-18
