rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features
1,0.9974189715121146,8.416342023593526e-05,4855.199152946472,1811.9133055529235,100,20,2,2,0.5
2,0.9974006812598768,7.63473763789766e-05,1724.8459010124207,155.82097192923825,100,30,5,1,0.5
3,0.9973569792360164,0.00010963549502066502,3902.966679620743,570.6978459073816,200,20,2,1,0.5
4,0.9968873134351902,5.851991496988464e-05,339.4580629348755,4.25117303908445,100,,2,2,sqrt
5,0.9968572415260359,0.00011505523413816312,667.6414267063141,11.330905513817784,200,40,5,4,sqrt
6,0.9968003520809858,9.91353553737001e-05,493.6336060523987,297.3209491994833,100,30,2,4,sqrt
7,0.9965927819581207,0.00011343229382351192,281.9006303787231,13.112875090073297,100,20,2,1,log2
8,0.9964675890440768,0.00011680769659316212,458.50423884391785,150.34531391373915,150,30,10,1,log2
9,0.9963066249262938,0.00015703773986338693,342.7058062553406,171.15060189249144,100,20,2,4,log2
10,0.9962561185715366,0.00022568049587173614,266.91727056503294,2.81312326489142,100,20,10,4,log2
