attack,samples,detected,missed,recall
Bot,299,186,113,0.6220735785953178
DDoS,19185,3460,15725,0.18034923117018503
DoS GoldenEye,1530,764,766,0.4993464052287582
DoS Hulk,26010,21720,4290,0.8350634371395617
DoS Slowhttptest,778,591,187,0.7596401028277635
DoS slowloris,819,282,537,0.3443223443223443
FTP-Patator,871,567,304,0.6509758897818599
Heartbleed,1,1,0,1.0
Infiltration,5,2,3,0.4
PortScan,13546,13379,167,0.9876716373837295
SSH-Patator,480,465,15,0.96875
Web Attack - Brute Force,228,17,211,0.07456140350877193
Web Attack - SQL Injection,4,2,2,0.5
Web Attack - XSS,105,3,102,0.02857142857142857
