feature,benign_q001,benign_q01,benign_q99,benign_q999,attack_median,attack_q95,attack_q99
Flow Duration,1.0,2.0,118087024.3,119878948.312,6038847.0,100290630.3,111777555.82000005
Total Fwd Packets,1.0,1.0,60.0,351.0,4.0,9.0,15.0
Total Backward Packets,0.0,0.0,75.0,535.4620000000577,5.0,7.0,15.0
Total Length of Fwd Packets,0.0,0.0,11607.0,45327.46800000081,30.0,664.0,2008.0
Total Length of Bwd Packets,0.0,0.0,100351.47999999952,922460.4580000092,11595.0,11607.0,11632.0
Flow Bytes/s,0.0,0.0,12333333.3333333,309000000.0,143.3019345,333333.3333,1000000.0
Flow Packets/s,0.031219174114,0.06051846112,1000000.0,2000000.0,1.124915575,64516.12903,181818.1818
Fwd Packets/s,0.0176913097424,0.031207655692,1000000.0,2000000.0,0.949903739,32258.06452,100000.0
Bwd Packets/s,0.0,0.0,60000.0,500000.0,0.082047507,32258.06452,90909.09091
SYN Flag Count,0.0,0.0,1.0,1.0,0.0,0.0,0.0
RST Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACK Flag Count,0.0,0.0,1.0,1.0,0.0,1.0,1.0
PSH Flag Count,0.0,0.0,1.0,1.0,0.0,1.0,1.0
FIN Flag Count,0.0,0.0,1.0,1.0,0.0,1.0,1.0
Average Packet Size,0.0,0.0,1021.0522024599986,1668.571429,832.6428571,1454.125,1661.857143
Down/Up Ratio,0.0,0.0,3.0,6.0,1.0,2.0,2.0
Packet Length Mean,0.0,0.0,999.6908835999976,1453.375,777.5333333,1292.555556,1454.125
Packet Length Std,0.0,0.0,1268.2560672523543,2992.233243,1459.517648,3113.952607,4097.537534
