scope,group,feature,count,min,q001,q01,q05,median,q95,q99,q999,max
binary,BENIGN,Flow Duration,1466539,-12.0,1.0,2.0,5.0,40599.0,115276322.2,118087024.3,119878948.312,119999998.0
binary,BENIGN,Total Fwd Packets,1466539,1.0,1.0,1.0,1.0,2.0,22.0,60.0,351.0,217797.0
binary,BENIGN,Total Backward Packets,1466539,0.0,0.0,0.0,0.0,2.0,20.0,75.0,535.4620000000577,289585.0
binary,BENIGN,Total Length of Fwd Packets,1466539,0.0,0.0,0.0,0.0,68.0,2346.0,11607.0,45327.46800000081,1288022.0
binary,BENIGN,Total Length of Bwd Packets,1466539,0.0,0.0,0.0,0.0,144.0,8196.0,100351.47999999952,922460.4580000092,639650620.0
binary,BENIGN,Flow Bytes/s,1466539,-261000000.0,0.0,0.0,0.0,4247.319315,2315840.3286999287,12333333.3333333,309000000.0,2071000000.0
binary,BENIGN,Flow Packets/s,1466539,-2000000.0,0.031219174114,0.06051846112,0.27980691599999996,84.96537661,500000.0,1000000.0,2000000.0,4000000.0
binary,BENIGN,Fwd Packets/s,1466539,0.0,0.0176913097424,0.031207655692,0.13892946150000002,43.0793090079,333333.3333033333,1000000.0,2000000.0,3000000.0
binary,BENIGN,Bwd Packets/s,1466539,0.0,0.0,0.0,0.0,24.87500311,22222.22222,60000.0,500000.0,2000000.0
binary,BENIGN,SYN Flag Count,1466539,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
binary,BENIGN,RST Flag Count,1466539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
binary,BENIGN,ACK Flag Count,1466539,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
binary,BENIGN,PSH Flag Count,1466539,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
binary,BENIGN,FIN Flag Count,1466539,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
binary,BENIGN,Average Packet Size,1466539,0.0,0.0,0.0,0.0,78.25,496.17700535999927,1021.0522024599986,1668.571429,3684.0
